dataTagId,description,system,systemName,equipment,equipmentType,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureInstance,measureUnit,tagType,group,limRangeLo,limRangeHi,limHi,limHiHi,limLo,limLoLo
7HFE30CT101_XQ02,AH-A PA I/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Inlet,Inlet,1,Primary Air,Temperature,1,DegC,,,0,100,75,90,25,10
7HFE30CT102_XQ02,AH-A PA I/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Inlet,Inlet,1,Primary Air,Temperature,2,DegC,,,0,100,75,90,25,10
7HFE30CT103_XQ02,AH-A PA I/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Inlet,Inlet,1,Primary Air,Temperature,3,DegC,,,0,100,75,90,25,10
7HFE30CT104_XQ02,AH-A PA I/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Inlet,Inlet,1,Primary Air,Temperature,4,DegC,,,0,100,75,90,25,10
7HLA50CP101_XQ01,AH-A SA I/L PR,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Pressure,1,mmwc,,,0,350,262.5,315,87.5,35
7AHAairILTmp,AH-A SA I/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Temperature,1,DegC,,Air Path,0,150,112.5,135,37.5,15
7HLA50CT101_XQ02,SA I/L TEMP-1,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Temperature,2,DegC,,,0,400,300,360,100,40
7HLA50CT102_XQ02,SA I/L TEMP-2,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Temperature,3,DegC,,,0,400,300,360,100,40
7HLA50CT103_XQ02,SA I/L TEMP-3,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Temperature,4,DegC,,,0,400,300,360,100,40
7HLA50CT104_XQ02,SA I/L TEMP-4,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Temperature,5,DegC,,,0,400,300,360,100,40
7HFE40CP101_XQ01,AH-A PA O/L PR,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Primary Air,Pressure,1,mmwc,,,0,1000,750,900,250,100
7HFE40CT101_XQ03,AH-A PA O/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Primary Air,Temperature,1,DegC,,,0,400,300,360,100,40
7HFE40CT102_XQ03,AH-A PA O/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Primary Air,Temperature,2,DegC,,,0,400,300,360,100,40
7HFE40CT103_XQ03,AH-A PA O/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Primary Air,Temperature,3,DegC,,,0,400,300,360,100,40
7HFE40CT104_XQ03,AH-A PA O/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Primary Air,Temperature,4,DegC,,,0,400,300,360,100,40
7SAFL_SEL,SEC AIR FLOW-L,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Flow,0,TPH,,Air Path,0,750,562.5,675,187.5,75
7HLA70CP101_XQ01,AH-A SA O/L PR,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Pressure,1,mmwc,,,0,150,112.5,135,37.5,15
7SATL_SEL,SEC AIR TMP-L,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Temperature,0,DegC,,Air Path,0,400,300,360,100,40
7HLA70CT101_XQ03,AH-A SA O/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Temperature,1,DegC,,,0,400,300,360,100,40
7HLA70CT102_XQ03,AH-A SA O/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Temperature,2,DegC,,,0,400,300,360,100,40
7HLA70CT103_XQ03,AH-A SA O/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Temperature,3,DegC,,,0,400,300,360,100,40
7HLA70CT104_XQ03,AH-A SA O/L TMP,Boiler,PCFB,Air Preheater,,AH-A,1,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Temperature,4,DegC,,,0,400,300,360,100,40
7HNA20CP101_XQ01,AH-A FG I/L PR,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,Flue Gas,Pressure,1,mmwc,,,-150,0,-37.5,-15,-112.5,-135
7hna20ct101_xq03,FG I/L TEMP-1,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,Flue Gas,Temperature,1,DegC,,,0,400,300,360,100,40
7hna20ct102_xq03,FG I/L TEMP-2,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,Flue Gas,Temperature,2,DegC,,,0,400,300,360,100,40
7hna20ct103_xq03,FG I/L TEMP-3,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,Flue Gas,Temperature,3,DegC,,,0,400,300,360,100,40
7hna20ct104_xq03,FG I/L TEMP-4,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,Flue Gas,Temperature,4,DegC,,,0,400,300,360,100,40
7HNA30CP101_XQ01,AH-A FG O/L PR,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Pressure,1,mmwc,,,-300,0,-75,-30,-225,-270
7AHAgasOLTmp,AH-A GAS O/L TEMP,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Temperature,0,DegC,,Flue Gas Path,0,200,150,180,50,20
7HNA30CT101_XQ02,FG O/L TEMP-1,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Temperature,2,DegC,,,0,400,300,360,100,40
7HNA30CT102_XQ02,FG O/L TEMP-2,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Temperature,3,DegC,,,0,400,300,360,100,40
7HNA30CT103_XQ02,FG O/L TEMP-3,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Temperature,4,DegC,,,0,400,300,360,100,40
7HNA30CT104_XQ02,FG O/L TEMP-4,Boiler,PCFB,Air Preheater,,AH-A,1,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Temperature,5,DegC,,,0,400,300,360,100,40
7HLD01AE002_XQ06,APH-A ELE MTR CURRENT,Boiler,PCFB,Air Preheater,,AH-A,1,Motor,Motor,1,Winding,Motor Winding,1,,,,Power,Current,1,AMP,,,0,25,18.75,22.5,6.25,2.5
7HLD01CS201_XG48,APH-A ROTOR STOP SW,Boiler,PCFB,Air Preheater,,AH-A,1,Motor,Motor,1,,,,,,,Rotor,??,1,%,???,,0,1000,750,900,250,100
7HLD01AE002_XB11,AH-A ELECT MTR FdbkOn,Boiler,PCFB,Air Preheater,,AH-A,1,Motor,Motor,1,,,,,,,,Status,1,ON,Feedback,,0,1,1,1,0,0
7HLD01AE002_XB12,AH-A ELECT MTR  (F/B OFF),Boiler,PCFB,Air Preheater,,AH-A,1,Motor,Motor,1,,,,,,,,Status,1,OFF,Feedback,,,,,,,
7HLD01CF202_XG52,APH-A GB LO FLOW,Boiler,PCFB,Air Preheater,,AH-A,1,,,,Guide Bearing,Guide Bearing,1,Drain,GB Drain,1,Lubricating Oil,Flow,1,TPH,,,0,1000,750,900,250,100
7HLD01CT202_XG03,APH-A GB LO TMP,Boiler,PCFB,Air Preheater,,AH-A,1,,,,Guide Bearing,Guide Bearing,1,Drain,GB Drain,1,Lubricating Oil,Temperature,1,DegC,,,0,1000,750,900,250,100
7HLD01CT102_XQ02,APH -A GB TMP,Boiler,PCFB,Air Preheater,,AH-A,1,,,,Guide Bearing,Guide Bearing,1,,,,Metal,Temperature,1,DegC,,,0,100,75,90,25,10
7HLD01CF201_XG52,APH-A SB LO FLOW,Boiler,PCFB,Air Preheater,,AH-A,1,,,,Support Bearing,Support Bearing,1,Drain,SB Drain,1,Lubricating Oil,Flow,1,TPH,,,0,1000,750,900,250,100
7HLD01CT201_XG03,APH-A SB LO TMP,Boiler,PCFB,Air Preheater,,AH-A,1,,,,Support Bearing,Support Bearing,1,Drain,SB Drain,1,Lubricating Oil,Temperature,1,DegC,,,0,1000,750,900,250,100
7HLD01CT101_XQ02,APH -A SB TMP,Boiler,PCFB,Air Preheater,,AH-A,1,,,,Support Bearing,Support Bearing,1,,,,Metal,Temperature,1,DegC,,,0,100,75,90,25,10
7HNA21CP101_XQ01,APH-A Diff Pressure,Boiler,PCFB,Air Preheater,,AH-A,1,,,,,,,,,,Flue Gas,Differential Pressure,1,mmwc,,,,,,,,
7HBK01EZ100_XE55,SEC AIR HTR OFF,Boiler,PCFB,Air Preheater,,AH-A,1,,,,,,,,,,,Status,1,OFF,Feedback,,,,,,,
7HLD02CT103_XQ03,APH-B COLD END TMP1,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Cold End,Temperature,1,DegC,,,0,500,375,450,125,50
7HLD02CT104_XQ03,APH-B COLD END TMP2,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Cold End,Temperature,2,DegC,,,0,500,375,450,125,50
7HLD02CT105_XQ03,APH-B COLD END TMP3,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Cold End,Temperature,3,DegC,,,0,500,375,450,125,50
7HLD02CT106_XQ03,APH-B COLD END TMP4,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Cold End,Temperature,4,DegC,,,0,500,375,450,125,50
7HLD02CT107_XQ03,APH-B COLD END TMP5,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Cold End,Temperature,5,DegC,,,0,500,375,450,125,50
7HLD02CT108_XQ03,APH-B COLD END TMP6,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Cold End,Temperature,6,DegC,,,0,500,375,450,125,50
7HLD02CT109_XQ03,APH-B COLD END TMP7,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Cold End,Temperature,7,DegC,,,0,500,375,450,125,50
7HLD02CT110_XQ03,APH-B COLD END TMP8,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Cold End,Temperature,8,DegC,,,0,500,375,450,125,50
7HLD02CT111_XQ03,APH-B COLD END TMP9,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Cold End,Temperature,9,DegC,,,0,500,375,450,125,50
7HLD02CT112_XQ03,APH-B COLD END TMP10,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Cold End,Temperature,10,DegC,,,0,500,375,450,125,50
7HLD02CT113_XQ03,APH-B HOT END TMP1,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Hot End,Temperature,1,DegC,,,0,500,375,450,125,50
7HLD02CT114_XQ03,APH-B HOT END TMP2,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Hot End,Temperature,2,DegC,,,0,500,375,450,125,50
7HLD02CT115_XQ03,APH-B HOT END TMP3,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Hot End,Temperature,3,DegC,,,0,500,375,450,125,50
7HLD02CT116_XQ03,APH-B HOT END TMP4,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Hot End,Temperature,4,DegC,,,0,500,375,450,125,50
7HLD02CT117_XQ03,APH-B HOT END TMP5,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Hot End,Temperature,5,DegC,,,0,500,375,450,125,50
7HLD02CT118_XQ03,APH-B HOT END TMP6,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Hot End,Temperature,6,DegC,,,0,500,375,450,125,50
7HLD02CT119_XQ03,APH-B HOT END TMP7,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Hot End,Temperature,7,DegC,,,0,500,375,450,125,50
7HLD02CT120_XQ03,APH-B HOT END TMP8,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Hot End,Temperature,8,DegC,,,0,500,375,450,125,50
7HLD02CT121_XQ03,APH-B HOT END TMP9,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Hot End,Temperature,9,DegC,,,0,500,375,450,125,50
7HLD02CT122_XQ03,APH-B HOT END TMP10,Boiler,PCFB,Air Preheater,,AH-B,2,???,???,1,,,,,,,Hot End,Temperature,10,DegC,,,0,500,375,450,125,50
7HFE35CP101_XQ01,AH-B PA I/L PR,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,???,1,,,,Inlet,Inlet,1,Primary Air,Pressure,1,mmwc,,,0,1100,825,990,275,110
7HFE35CT101_XQ02,AH-B PA I/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,???,1,,,,Inlet,Inlet,1,Primary Air,Temperature,1,DegC,,,0,100,75,90,25,10
7HFE35CT102_XQ02,AH-B PA I/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Inlet,Inlet,1,Primary Air,Temperature,2,DegC,,,0,100,75,90,25,10
7HFE35CT103_XQ02,AH-B PA I/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Inlet,Inlet,1,Primary Air,Temperature,3,DegC,,,0,100,75,90,25,10
7HFE35CT104_XQ02,AH-B PA I/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Inlet,Inlet,1,Primary Air,Temperature,4,DegC,,,0,100,75,90,25,10
7HLA60CP101_XQ01,AH-B SA I/L PR,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Pressure,1,mmwc,,,0,350,262.5,315,87.5,35
7AHBairILTmp,AH-B SA I/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Temperature,1,DegC,,Air Path,0,150,112.5,135,37.5,15
7HLA60CT101_XQ02,SA I/L TEMP-1,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Temperature,2,DegC,,,0,400,300,360,100,40
7HLA60CT102_XQ02,SA I/L TEMP-2,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Temperature,3,DegC,,,0,400,300,360,100,40
7HLA60CT103_XQ02,SA I/L TEMP-3,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Temperature,4,DegC,,,0,400,300,360,100,40
7HLA60CT104_XQ02,SA I/L TEMP-4,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Inlet,Inlet,1,Secondary Air,Temperature,5,DegC,,,0,400,300,360,100,40
7HFE45CP101_XQ01,AH-B PA O/L PR,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Primary Air,Pressure,1,mmwc,,,0,1000,750,900,250,100
7HFE45CT101_XQ03,AH-B PA O/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Primary Air,Temperature,1,DegC,,,0,400,300,360,100,40
7HFE45CT102_XQ03,AH-B PA O/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Primary Air,Temperature,2,DegC,,,0,400,300,360,100,40
7HFE45CT103_XQ03,AH-B PA O/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Primary Air,Temperature,3,DegC,,,0,400,300,360,100,40
7HFE45CT104_XQ03,AH-B PA O/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Primary Air,Temperature,4,DegC,,,0,400,300,360,100,40
7SAFR_SEL,SEC. AIR FLOW-R,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Flow,0,TPH,,Air Path,0,750,562.5,675,187.5,75
7HLA80CP101_XQ01,AH-B SA O/L PR,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Pressure,1,mmwc,,,0,150,112.5,135,37.5,15
7SATR_SEL,SEC AIR TMP-R,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Temperature,0,DegC,,Air Path,0,400,300,360,100,40
7HLA80CT101_XQ03,AH-B SA O/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Temperature,1,DegC,,,0,400,300,360,100,40
7HLA80CT102_XQ03,AH-B SA O/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Temperature,2,DegC,,,0,400,300,360,100,40
7HLA80CT103_XQ03,AH-B SA O/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Temperature,3,DegC,,,0,400,300,360,100,40
7HLA80CT104_XQ03,AH-B SA O/L TMP,Boiler,PCFB,Air Preheater,,AH-B,2,Air Path,Air Path,1,,,,Outlet,Outlet,1,Secondary Air,Temperature,4,DegC,,,0,400,300,360,100,40
7HNA25ct101_xq03,FG I/L TEMP-1,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,Flue Gas,Temperature,1,DegC,,,0,400,300,360,100,40
7HNA25ct102_xq03,FG I/L TEMP-2,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,Flue Gas,Temperature,2,DegC,,,0,400,300,360,100,40
7HNA25ct103_xq03,FG I/L TEMP-3,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,Flue Gas,Temperature,3,DegC,,,0,400,300,360,100,40
7HNA25ct104_xq03,FG I/L TEMP-4,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,Flue Gas,Temperature,4,DegC,,,0,400,300,360,100,40
7HNA25CQ101_XQ04,O2 IN FG,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,O2,Concentration,1,ppm,,,0,10,7.5,9,2.5,1
7AHBgasOLTmp,AH-B GAS O/L TEMP,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Temperature,1,DegC,,Flue Gas Path,0,200,150,180,50,20
7HNA35CT101_XQ02,FG O/L TEMP-1,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Temperature,2,DegC,,,0,400,300,360,100,40
7HNA35CT102_XQ02,FG O/L TEMP-2,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Temperature,3,DegC,,,0,400,300,360,100,40
7HNA35CT103_XQ02,FG O/L TEMP-3,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Temperature,4,DegC,,,0,400,300,360,100,40
7HNA35CT104_XQ02,FG O/L TEMP-4,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Temperature,5,DegC,,,0,400,300,360,100,40
7HNA25CP101_XQ01,AH-B FG I/L PR,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Inlet,Inlet,1,Flue Gas,Pressure,1,mmwc,,,-150,0,-37.5,-15,-112.5,-135
7HNA35CP101_XQ01,AH-B FG O/L PR,Boiler,PCFB,Air Preheater,,AH-B,2,Flue Gas Path,Flue Gas Path,1,,,,Outlet,Outlet,1,Flue Gas,Pressure,1,mmwc,,,-300,0,-75,-30,-225,-270
7HLD02AE002_XQ06,APH-B ELE MTR CURRENT,Boiler,PCFB,Air Preheater,,AH-B,2,Motor,Motor,1,Winding,Motor Winding,1,,,,Power,Current,1,AMP,,,0,25,18.75,22.5,6.25,2.5
7HLD02CS201_XG48,APH-B ROTOR STOP SW,Boiler,PCFB,Air Preheater,,AH-B,2,Motor,Motor,1,,,,,,,Rotor,??,1,%,???,,0,1000,750,900,250,100
7HLD02AE002_XB11,AH-B ELECT MTR FdbkOn,Boiler,PCFB,Air Preheater,,AH-B,2,Motor,Motor,1,,,,,,,,Status,1,ON,Feedback,,0,1,1,1,0,0
7HLD02AE002_XB12,AH-B ELECT MTR  (F/B OFF),Boiler,PCFB,Air Preheater,,AH-B,2,Motor,Motor,1,,,,,,,,Status,1,OFF,Feedback,,,,,,,
7HLD02CF202_XG52,APH-B GB LO FLOW,Boiler,PCFB,Air Preheater,,AH-B,2,,,,Guide Bearing,Guide Bearing,1,Drain,GB Drain,1,Lubricating Oil,Flow,1,TPH,,,0,1000,750,900,250,100
7HLD02CT202_XG03,APH-B GB LO TMP,Boiler,PCFB,Air Preheater,,AH-B,2,,,,Guide Bearing,Guide Bearing,1,Drain,GB Drain,1,Lubricating Oil,Temperature,1,DegC,,,0,1000,750,900,250,100
7HLD02CT102_XQ02,APH -B GB TMP,Boiler,PCFB,Air Preheater,,AH-B,2,,,,Guide Bearing,Guide Bearing,1,,,,Metal,Temperature,1,DegC,,,0,100,75,90,25,10
