Sl No,New?,dataTagId,description,standardDescription,system,systemName,equipment,equipmentType,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureInstance,tagType,measureUnit,Remarks,designValue,goodDirection,lcl,ucl,manual,group,Design Value (100%),Design Parameters (80%)
,,FURPRS_SP,FURNACE PRESSURE SP,FURNACE PRESSURE SETPOINT,Boiler,PCFB,Boiler Control,,Boiler Control,1,Furnace,Furnace,1,Pressure Controller,Pressure Controller,1,,,,Furnace,Pressure,1,Setpoint,MMWC,~ -8,,,,,SP,,,
,,PAHDR_SP,PA HEADER PRESSURE SP,Primary Air Header Pressure Setpoint,Boiler,PCFB,Boiler Control,,Boiler Control,1,PA Fan,PA Fan,1,PA Header Pressure Controller,PA Header Pressure Controller,1,,,,Primary Air,Pressure,1,Setpoint,MMWC,~ 650,,,,,SP,,,
422,New,4MSTEMP_SP.PV,SPRAY WATER FLOW MS TEMP SET POINT,MAIN STEAM TEMPERATURE SET POINT FOR SPRAY WATER FLOW,Boiler,PCFB,Boiler Control,,Boiler Control,1,Spray Controller,Spray Controller,1,,,,,,,Main Steam,Temperature,1,Setpoint,DEG C,,,,,,SP,Steam Path,,
,,MSPRS_SP,PRESSURE SP,Boiler Main Steam Pressure Setpoint,Boiler,PCFB,Boiler Control,,Boiler Control,1,Superheater,Superheater,1,Main Steam Pressure Controller,Main Steam Pressure Controller,1,,,,Main Steam,Pressure,1,Setpoint,KG/CM2,~ 98.8 kg/cm2,,,,,SP,,,
,,4MSTEMP_SP,MAIN STEAM TMP AFTER SH LHS_SP,Main Steam Tempeature at SH Outlet Setpoint,Boiler,PCFB,Boiler Control,,Boiler Control,1,Superheater,Superheater,1,Main Steam Temperature Controller,Main Steam Temperature Controller,1,,,,Main Steam,Temperature,1,Setpoint,DEG C,~ 537 deg,,,,,SP,,,
79,New,LICRA_01405_3_1A_FB,FEED REGUALTION VALVE A DRUM,FEED WATER REGULATION VALVE AT BOILER DRUM,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,Feed Regulation Valve,Feed Regulation Valve - A,1,,,,Position,Percentage,1,Feedback,%,,,,,,FB,Feed Water Path,,
80,New,LICRA_01405_3_1B_FB,FEED REGUALTION VALVE B DRUM,FEED WATER REGULATION VALVE AT BOILER DRUM,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,Feed Regulation Valve,Feed Regulation Valve - B,1,,,,Position,Percentage,1,Feedback,%,,,,,,FB,Feed Water Path,,
76,New,LICRA_01405_1,DRUM LEVEL VALVE POSITION (EAST),DRUM LEVEL VALVE POSITION,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,Level Valve,Level Valve,1,East,East,1,Feed Water,Level,1,Feedback,MMWC,,,,,,,Feed Water Path,,
77,New,LICRA_01405_2,DRUM LEVEL VALVE POSITION (WEST),DRUM LEVEL VALVE POSITION,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,Level Valve,Level Valve,1,West,West,1,Feed Water,Level,1,Feedback,MMWC,,,,,,,Feed Water Path,,
78,New,LICRA_01405_3,DRUM LEVEL VALVE POSITION (WEST),DRUM LEVEL VALVE POSITION,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,Level Valve,Level Valve,1,West,West,1,Feed Water,Level,2,Feedback,MMWC,,,,,,,Feed Water Path,,
70,New,TI_10203_TOP_EAST,DRUM METAL TEMP TOP EAST,BOILER DRUM METAL TEMPERATURE TOP,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,,,,East,Top-East,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
68,New,TI_10203_BOT_EAST,DRUM METAL TEMP BOTTOM EAST,BOILER DRUM METAL TEMPERATURE BOTTOM,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,,,,East,Bottom-East,2,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
74,,FW_FLOW,COMPENSATED FEED WATER FLOW,COMPENSATED FEED WATER FLOW,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,,,,Inlet,Inlet,1,Feed Water,Flow,1,,TPH,,,,0,450,,Feed Water Path,275,
71,New,TI_10203_TOP_WEST,DRUM METAL TEMP TOP WEST,BOILER DRUM METAL TEMPERATURE TOP,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,,,,West,Top-West,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
69,New,TI_10203_BOT_WEST,DRUM METAL TEMP BOTTOM WEST,BOILER DRUM METAL TEMPERATURE BOTTOM,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,,,,West,Bottom-West,2,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
81,New,LICRA_01405_S,DRUM LEVEL,DRUM LEVEL ,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,,,,,,,Feed Water,Level,1,,,,,,,,,Feed Water Path,,
75,New,LICRA_01405,DRUM LEVEL AVERAGE,DRUM LEVEL,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,,,,,,,Feed Water,Level,2,,,,,,,,,Feed Water Path,,
82,,PI_02106,DRUM STEAM PRESSURE,DRUM STEAM PRESSURE,Boiler,PCFB,Boiler Drum,,Boiler Drum,1,,,,,,,,,,Steam,Pressure,1,,KG/CM2,,,,0,150,,Steam Path,,
135,,PI_01101,FEED WATER PRESSURE AT ECONOMIZER INLET,FEED WATER PRESSURE AT ECONOMIZER INLET,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,Inlet,Inlet,1,Feed Water,Pressure,1,,KG/CM2,,,,0,150,,Feed Water Path,,
137,,TI_01217,FEED WATER TEMPERATURE ECONOMIZER INLET,FEED WATER TEMPERATURE ECONOMIZER INLET,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,Inlet,Inlet,1,Feed Water,Temperature,1,,DEG C,,,,0,300,,Feed Water Path,230,
