,Sl No,New?,dataTagId,description,standardDescription,system,systemName,equipment,equipmentType,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureInstance,tagType,measureUnit,Remarks,designValue,goodDirection,lcl,ucl,manual,group,Design Value (100%),Design Parameters (80%),invalid
11,27,New,TIA07202,BFP A DISCHARGE SIDE BEARING TMP,BEARING TEMPERATURE AT BFP DISCHARGE SIDE,BFP System,BFP System,BFP,-,BFP A,1,Main Pump,Pump,1,Bearing,Pump Bearing - Discharge,2,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,-,-,??,Mechanical,-,-,
12,32,-,TIA7202,BFP A NDE TP THRUST METAL TEMPERATURE,BFP NDE TP THRUST METAL TEMPERATURE,BFP System,BFP System,BFP,-,BFP A,1,Main Pump,Pump,1,Thrust Bearing,Thrust Bearing,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
13,41,-,PI07101,BFP A SUCTION PRESSURE,BFP SUCTION PRESSURE,BFP System,BFP System,BFP,-,BFP A,1,Main Pump,Pump,1,-,-,-,Inlet,Suction,1,Feed Water,Pressure,1,-,KG/CM2,-,-,-,0,25,-,Feed Water Path,-,-,
14,45,-,TR_06205,BFP A SUCTION TEMPERATURE,BFP SUCTION TEMPERATURE,BFP System,BFP System,BFP,-,BFP A,1,Main Pump,Pump,1,-,-,-,Inlet,Suction,1,Feed Water,Temperature,1,-,DEG C,-,-,-,0,300,-,Feed Water Path,-,-,
15,40,New,FIRS0701,BFP A DISCHARGE FLOW,BFP DISCHARGE FLOW,BFP System,BFP System,BFP,-,BFP A,1,Main Pump,Pump,1,-,-,-,Outlet,Discharge,1,Feed Water,Flow,1,-,TPH,-,-,-,-,-,-,Feed Water Path,-,-,
16,42,New,PIAZ07102,BFP A DISCHARGE PRES,BFP DISCHARGE PRESSURE,BFP System,BFP System,BFP,-,BFP A,1,Main Pump,Pump,1,-,-,-,Outlet,Discharge,1,Feed Water,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Feed Water Path,-,-,
17,39,-,BFP_HDR_TMP,BFP A DISCHARGE TEMPERATURE,BFP DISCHARGE TEMPERATURE,BFP System,BFP System,BFP,-,BFP A,1,Main Pump,Pump,1,-,-,-,Outlet,Discharge,1,Feed Water,Temperature,1,-,DEG C,-,-,High,0,300,-,Feed Water Path,-,-,
18,44,-,TI07220,BFP A OUTLET TEMPERATURE,BFP OUTLET TEMPERATURE,BFP System,BFP System,BFP,-,BFP A,1,Main Pump,Pump,1,-,-,-,Outlet,Discharge,1,Feed Water,Temperature,1,-,DEG C,-,-,High,-,-,-,Feed Water Path,-,-,
19,43,-,PISZA07117,BFP A BDLO PRESSURE,BFP BDLO PRESSURE,BFP System,BFP System,BFP,-,BFP A,1,Main Pump,Pump,1,-,-,-,-,-,-,BDLO,Pressure,1,-,KG/CM2,-,-,-,0,2.5,-,Feed Water Path,-,-,Rule-9: Duplicate dataTagId
20,46,New,FI07402,BFP A RECIRCUALTION FLOW,BFP RECIRCULATION FLOW,BFP System,BFP System,BFP,-,BFP A,1,-,-,-,Recirculation Valve,Recirculation Valve,1,Outlet,Outlet,1,Feed Water,Flow,1,-,TPH,-,-,Low,-,-,-,Feed Water Path,-,-,
21,48,-,TIA_07237,BFP B MOTOR DE BEARING TEMPERATURE,BFP MOTOR DE BEARING TEMPERATURE,BFP System,BFP System,BFP,-,BFP B,2,Motor,Motor,1,Bearing,Motor Bearing,1,DE,DE,1,Metal,Temperature,1,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
22,49,-,TIA_07238,BFP B MOTOR NDE BEARING TEMPERATURE,BFP MOTOR NDE BEARING TEMPERATURE,BFP System,BFP System,BFP,-,BFP B,2,Motor,Motor,1,Bearing,Motor Bearing,1,NDE,NDE,1,Metal,Temperature,1,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
23,51,-,TIA_7231,BFP B DE BEARING METAL TEMPERATURE,BFP DE BEARING METAL TEMPERATURE,BFP System,BFP System,BFP,-,BFP B,2,Main Pump,Pump,1,Bearing,Pump Bearing - Suction,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
24,52,New,TIA_7231,BFP B SUCTION SIE BEARING TMP,BEARING TEMPERATURE AT BFP SUCTION SIDE,BFP System,BFP System,BFP,-,BFP B,2,Main Pump,Pump,1,Bearing,Pump Bearing - Suction,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,-,-,-,Mechanical,-,-,Rule-9: Duplicate dataTagId
25,54,New,TIA07932,BFP B DISCHARGE SIDE BEARING TMP,BEARING TEMPERATURE AT BFP DISCHARGE SIDE,BFP System,BFP System,BFP,-,BFP B,2,Main Pump,Pump,1,Bearing,Pump Bearing - Discharge,2,-,-,-,Metal,Pressure,1,-,DEG C,-,-,Low,-,-,-,Mechanical,-,-,
26,55,-,TIZA_07239,BFP B MOTOR WINDING TEMPERATURE,BFP MOTOR WINDING TEMPERATURE,BFP System,BFP System,BFP,-,BFP B,2,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
27,56,-,TIZA_07240,BFP B MOTOR WINDING TEMPERATURE,BFP MOTOR WINDING TEMPERATURE,BFP System,BFP System,BFP,-,BFP B,2,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Metal,Temperature,2,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
28,57,-,TIZA_07241,BFP B MOTOR WINDING TEMPERATURE,BFP MOTOR WINDING TEMPERATURE,BFP System,BFP System,BFP,-,BFP B,2,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Metal,Temperature,3,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
30,60,New,PISZA_07147,BFP B LUBE OL PRES AFTER COOLER,BFP LUBE OIL PRESSURE AFTER COOLER,BFP System,BFP System,BFP,-,BFP B,2,Oil Supply System,Oil Supply System,1,Lubrication Oil Cooler,Lubrication Oil Cooler,1,Outlet,Outlet,1,Lubrication Oil,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Mechanical,-,-,
31,59,New,PI_07138,BFP B LUBE OL PRES AFTER FILTER,BFP LUBE OIL PRESSURE AFTER FILTER,BFP System,BFP System,BFP,-,BFP B,2,Oil Supply System,Oil Supply System,1,Lubrication Oil Filter,Lubrication Oil Filter,1,Outlet,Outlet,1,Lubrication Oil,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Mechanical,-,-,
32,53,-,TIA07932,BFP B NDE TP THRUST METAL TEMPERATURE,BFP NDE TP THRUST METAL TEMPERATURE,BFP System,BFP System,BFP,-,BFP B,2,Main Pump,Pump,1,Thrust Bearing,Thrust Bearing,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,Rule-9: Duplicate dataTagId
33,62,-,PI_077131,BFP B SUCTION PRESSURE,BFP SUCTION PRESSURE,BFP System,BFP System,BFP,-,BFP B,2,Main Pump,Pump,1,-,-,-,Inlet,Suction,1,Feed Water,Pressure,1,-,KG/CM2,-,-,-,0,25,-,Feed Water Path,-,-,
34,61,New,FIRS_07431,BFP B DISCHARGE FLOW,BFP DISCHARGE FLOW,BFP System,BFP System,BFP,-,BFP B,2,Main Pump,Pump,1,-,-,-,Outlet,Discharge,1,Feed Water,Flow,1,-,TPH,-,-,-,-,-,-,Feed Water Path,-,-,
35,64,New,PIZA_07132,BFP B DISCHARGE PRESSURE,BFP DISCHARGE PRESSURE,BFP System,BFP System,BFP,-,BFP B,2,Main Pump,Pump,1,-,-,-,Outlet,Discharge,1,Feed Water,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Feed Water Path,-,-,
36,67,-,BFP_HDR_TMP,BFP DISCHARGE TEMPERATURE,BFP DISCHARGE TEMPERATURE,BFP System,BFP System,BFP,-,BFP B,2,Main Pump,Pump,1,-,-,-,Outlet,Discharge,1,Feed Water,Temperature,1,-,DEG C,-,-,High,0,300,-,Feed Water Path,-,-,Rule-9: Duplicate dataTagId
37,65,-,TI07250,BFP B OUTLET TEMPERATURE,BFP OUTLET TEMPERATURE,BFP System,BFP System,BFP,-,BFP B,2,Main Pump,Pump,1,-,-,-,Outlet,Discharge,1,Feed Water,Temperature,2,-,DEG C,-,-,High,-,-,-,Feed Water Path,-,-,
38,63,-,PISZA_07147,BFP B BDLO PRESSURE,BFP BDLO PRESSURE,BFP System,BFP System,BFP,-,BFP B,2,Main Pump,Pump,1,-,-,-,-,-,-,BDLO,Pressure,1,-,KG/CM2,-,-,-,0,2.5,-,Feed Water Path,-,-,Rule-9: Duplicate dataTagId
39,66,New,FI_07432,BFP B RECIRCULATION FLOW,BFP RECIRCULATION FLOW,BFP System,BFP System,BFP,-,BFP B,2,-,-,-,Recirculation Valve,Recirculation Valve,1,Outlet,Outlet,1,Feed Water,Flow,1,-,TPH,-,-,-,-,-,-,Feed Water Path,-,-,
40,15,New,APH_P,APH CURRENT,APH CURRENT,Boiler,PCFB,Air Preheater,-,APH,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Power,Current,1,-,AMP,-,-,Low,-,-,-,Performance KPI,-,-,
41,9,New,TI_10201_1,APH GUIDE BEARING TEMP,APH GUIDE BEARING TEMPERATURE,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,Guide Bearing,Guide Bearing,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,-,-,-,Mechanical,-,-,
42,10,New,TI_10210_2,APH SUPPORT BEARING TEMP,APH SUPPORT BEARING TEMPERATURE,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,Support Bearing,Support Bearing,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,-,-,-,Mechanical,-,-,
43,13,-,TI_06210,AIR HEATER INLET FLUE GAS TEMPERATURE,FLUE GAS TEMPERATURE AT APH INLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,Inlet,Inlet,1,Flue Gas,Temperature,1,-,DEG C,-,-,Low,0,300,-,Flue Gas Path,375,-,
44,2,New,PI_05102_3,PA TO APH PRS,PRIMARY AIR PRESSURE AT APH INLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,Inlet,Inlet,1,Primary Air,Pressure,1,-,mmwc,-,-,-,-,-,-,Air Path,-,-,
45,6,New,TI_05208,PA TO APH TEMP,PRIMARY AIR TEMPERATURE AT APH INLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,Inlet,Inlet,1,Primary Air,Temperature,1,-,DEG C,-,-,-,-,-,-,Air Path,30,-,
46,4,New,PI_06102_3,SEC AIR I/L PRS TO APH,SECONDARY AIR PRESSURE AT APH INLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,Inlet,Inlet,1,Secondary Air,Pressure,1,-,MMWC,-,-,-,-,-,-,Air Path,-,-,
47,8,New,TI-04204,SEC AIR I/L TEMP AT APH,SECONDARY AIR TEMPERATURE AT APH INLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,Inlet,Inlet,1,Secondary Air,Temperature,1,-,DEG C,-,-,-,-,-,-,Air Path,30,-,
48,11,-,CO,CARBON MONOXIDE AT GOOSE NECK AREA,CARBON MONOXIDE AT GOOSE NECK AREA,Boiler,PCFB,Furnace,-,Furnace,1,-,-,-,-,-,-,Outlet,Outlet,1,Flue Gas,CO,1,-,PPM,-,-,-,0,500,-,Flue Gas Path,-,-,
49,12,New,PI_06102_12,APH O/L DRAFT,FLUE GAS PRESSURE AT APH OUTLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,Outlet,Outlet,1,Flue Gas,Pressure,1,-,MMWC,-,-,-,-,-,-,Flue Gas Path,-,-,
50,14,-,TI_06211,AIR HEATER OUTLET FLUE GAS TEMPERATURE,FLUE GAS TEMPERATURE AT APH OUTLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,Outlet,Outlet,1,Flue Gas,Temperature,1,-,DEG C,-,-,Low,0,300,-,Flue Gas Path,149,-,
51,3,New,PI_05102_4,PRIMARY AIR PRES FROM APH,PA PRESSURE AT APH OUTLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,Outlet,Outlet,1,Primary Air,Pressure,1,-,MMWC,-,-,-,-,-,-,Air Path,-,-,
52,7,New,TI_05209_APH,PA TEMP AT APH O/L,PA TEMPERATURE AT APH OUTLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,Outlet,Outlet,1,Primary Air,Temperature,1,-,DEG C,-,-,High,-,-,-,Air Path,316,-,
53,5,New,PI_06102_4,SEC AIR O/L PRS AT APH,SECONDARY AIR PRESSURE AT APH OUTLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,Outlet,Outlet,1,Secondary Air,Pressure,1,-,MMWC,-,-,-,-,-,-,Air Path,-,-,
54,519,-,HRenu_U5_APH_In-leakage,APH IN-LEAKAGE,APH IN-LEAKAGE,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Air,Leakage,1,Derived,%,-,-,Low,-,-,-,Performance KPI,-,-,
55,532,-,HRenu_U5_APH_Excess_Air,APH EXCESS AIR,APH EXCESS AIR,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,APH,Excess Air,1,Derived,%,-,-,Low,-,-,-,Performance KPI,-,-,
56,533,-,HRenu_U5_APH_Oxygen_rise_-_From_nose_arch_to_APH_Inlet,APH OXYGEN RISE - FROM NOSE ARCH TO APH INLET,APH OXYGEN RISE - FROM NOSE ARCH TO APH INLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,APH,Oxygen Rise,1,Derived,%,-,-,Low,-,-,-,Performance KPI,-,-,
57,534,-,HRenu_U5_APH_Oxygen_rise_-_From_APH_Outlet_to_ID_Fan_Inlet,APH OXYGEN RISE - FROM APH OUTLET TO ID FAN INLET,APH OXYGEN RISE - FROM APH OUTLET TO ID FAN INLET,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,APH,Oxygen Rise,2,Derived,%,-,-,Low,-,-,-,Performance KPI,-,-,
58,526,-,HRenu_U5_APH_Temperature_Potential,APH TEMPERATURE POTENTIAL,APH TEMPERATURE POTENTIAL,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,APH,Potential,1,Derived,DEG C,-,-,-,-,-,-,Performance KPI,-,-,
59,537,-,HRenu_U5_APH_x-Ratio,APH X-RATIO,APH X-RATIO,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,APH,x-Ratio,1,Derived,%,-,-,High,-,-,-,Performance KPI,-,-,
60,525,-,HRenu_U5_APH_Gas_side_pressure_drop,APH GAS SIDE PRESSURE DROP,APH GAS SIDE PRESSURE DROP,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Flue Gas,Pressure Drop,1,Derived,MMWC,-,-,-,-,-,-,Performance KPI,-,-,
61,520,-,HRenu_U5_APH_Flue_Gas_temperature_drop,APH FLUE GAS TEMPERATURE DROP,APH FLUE GAS TEMPERATURE DROP,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Flue Gas,Temperature Drop,1,Derived,DEG C,-,-,High,-,-,-,Performance KPI,-,-,
62,529,-,HRenu_U5_APH_Gas_side_Efficiency,APH GAS SIDE EFFICIENCY,APH GAS SIDE EFFICIENCY,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Gas side,Efficiency,1,Derived,%,-,-,High,-,-,-,Performance KPI,-,-,
63,527,-,HRenu_U5_APH_Air_side_Efficiency_(PA),APH AIR SIDE EFFICIENCY (PA),APH AIR SIDE EFFICIENCY (PA),Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,PA side,Efficiency,1,Derived,%,-,-,High,-,-,-,Performance KPI,-,-,
64,536,-,HRenu_U5_APH_Total_PA_Air_to_Total_Secondary_Air_Ratio,APH TOTAL PA AIR TO TOTAL SECONDARY AIR RATIO,APH TOTAL PA AIR TO TOTAL SECONDARY AIR RATIO,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,PA:SA,Ratio,1,Derived,-,-,-,-,-,-,-,AIr Path,-,-,
65,535,-,HRenu_U5_APH_Primary_Air_Flow,PRIMARY AIR FLOW,PRIMARY AIR FLOW,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Primary Air,Flow,1,Derived,TPH,-,-,-,-,-,-,AIr Path,103.134,-,
66,523,-,HRenu_U5_APH_Air_side_pressure_drop_(SA),APH AIR SIDE PRESSURE DROP (SA),APH AIR SIDE PRESSURE DROP (SA),Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Primary Air,Pressure Drop,1,Derived,KG/CM2,-,-,-,-,-,-,Performance KPI,-,-,
67,521,-,HRenu_U5_APH_Air_side_temperature_rise_(PA),APH AIR SIDE TEMPERATURE RISE (PA),APH AIR SIDE TEMPERATURE RISE (PA),Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Primary Air,Temperature Rise,1,Derived,DEG C,-,-,High,-,-,-,Performance KPI,-,-,
68,528,-,HRenu_U5_APH_Air_side_Efficiency_(SA),APH AIR SIDE EFFICIENCY (SA),APH AIR SIDE EFFICIENCY (SA),Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,SA side,Efficiency,1,Derived,%,-,-,High,-,-,-,Performance KPI,-,-,
69,531,-,HRenu_U5_APH_Heat_Pickup_in_APH_-_FD_Side,APH HEAT PICKUP IN APH - FD SIDE,APH HEAT PICKUP IN APH - FD SIDE,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Secondary Air,Heat Pick up,1,Derived,MCAL,-,-,High,-,-,-,Performance KPI,-,-,
70,524,-,HRenu_U5_APH_Air_Side_pressure_drop_(PA),APH AIR SIDE PRESSURE DROP (PA),APH AIR SIDE PRESSURE DROP (PA),Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Secondary Air,Pressure Drop,1,Derived,KG/CM2,-,-,-,-,-,-,Performance KPI,-,-,
71,522,-,HRenu_U5_APH_Air_side_temperature_rise_(SA),APH AIR SIDE TEMPERATURE RISE (SA),APH AIR SIDE TEMPERATURE RISE (SA),Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Secondary Air,Temperature Rise,1,Derived,DEG C,-,-,High,-,-,-,Performance KPI,-,-,
72,530,-,HRenu_U5_Total_Secondary_Air_Flow,TOTAL SECONDARY AIR FLOW,TOTAL SECONDARY AIR FLOW,Boiler,PCFB,Air Preheater,-,APH,1,-,-,-,-,-,-,-,-,-,Secondary Air,Total Flow,1,Derived,TPH,-,-,-,-,-,-,Air Path,192.82,-,
73,72,New,DRM_LVL_SP,DRUM LEVEL SETP POINT,BOILER DRUM LEVEL SET POINT,Boiler,PCFB,Boiler Control,-,Boiler Control,1,Boiler Drum,Boiler Drum,1,Drum Level Controller,Drum Level Controller,1,-,-,-,Feed Water,Level,1,Setpoint,MM,-,-,-,-,-,SP,Feed Water Path,-,-,
74,-,-,DRM_LVL_SP,DRUM LEVEL SP,Drum Level Setpoint,Boiler,PCFB,Boiler Control,-,Boiler Control,1,Boiler Drum,Boiler Drum,1,Drum Level Controller,Drum Level Controller,1,-,-,-,Feed Water,Level,2,Setpoint,MM,~ 45 MM,-,-,-,-,SP,-,-,-,Rule-9: Duplicate dataTagId
75,73,New,DRUM_LVL_MSTR_FCO,DRUM LEVEL MASTER,BOILER DRUM LEVEL MASTER (DCS SIGNAL),Boiler,PCFB,Boiler Control,-,Boiler Control,1,Boiler Drum,Boiler Drum,1,Drum Level Controller,Drum Level Controller,1,-,-,-,Feed Water,Master Level,1,Setpoint,%,-,-,-,-,-,CTL,Feed Water Path,-,-,
76,496,New,O2_MASTER_FCO,O2 MASTER COMMAND,OXYGEN MASTER COMMAND,Boiler,PCFB,Boiler Control,-,Boiler Control,1,Economizer,Economizer,1,O2 Controller,O2 Controller,1,-,-,-,Flue Gas,O2,1,Setpoint,%,-,-,-,-,-,-,-,-,-,
77,-,-,AIRFL_SP,AIR FLOW SP,Air Flow Setpoint,Boiler,PCFB,Boiler Control,-,Boiler Control,1,FD Fan,FD Fan,1,Secondary Air Flow Controller,-,-,-,-,-,Secondary Air,Flow,1,Setpoint,TPH,~ 265 Tph,-,-,-,-,SP,-,-,-,
78,-,-,FURPRS_SP,FURNACE PRESSURE SP,FURNACE PRESSURE SETPOINT,Boiler,PCFB,Boiler Control,-,Boiler Control,1,Furnace,Furnace,1,Pressure Controller,Pressure Controller,1,-,-,-,Furnace,Pressure,1,Setpoint,MMWC,~ -8,-,-,-,-,SP,-,-,-,
79,-,-,PAHDR_SP,PA HEADER PRESSURE SP,Primary Air Header Pressure Setpoint,Boiler,PCFB,Boiler Control,-,Boiler Control,1,PA Fan,PA Fan,1,PA Header Pressure Controller,PA Header Pressure Controller,1,-,-,-,Primary Air,Pressure,1,Setpoint,MMWC,~ 650,-,-,-,-,SP,-,-,-,
80,422,New,4MSTEMP_SP.PV,SPRAY WATER FLOW MS TEMP SET POINT,MAIN STEAM TEMPERATURE SET POINT FOR SPRAY WATER FLOW,Boiler,PCFB,Boiler Control,-,Boiler Control,1,Spray Controller,Spray Controller,1,-,-,-,-,-,-,Main Steam,Temperature,1,Setpoint,DEG C,-,-,-,-,-,SP,Steam Path,-,-,
81,-,-,MSPRS_SP,PRESSURE SP,Boiler Main Steam Pressure Setpoint,Boiler,PCFB,Boiler Control,-,Boiler Control,1,Superheater,Superheater,1,Main Steam Pressure Controller,Main Steam Pressure Controller,1,-,-,-,Main Steam,Pressure,1,Setpoint,KG/CM2,~ 98.8 kg/cm2,-,-,-,-,SP,-,-,-,
82,-,-,4MSTEMP_SP,MAIN STEAM TMP AFTER SH LHS_SP,Main Steam Tempeature at SH Outlet Setpoint,Boiler,PCFB,Boiler Control,-,Boiler Control,1,Superheater,Superheater,1,Main Steam Temperature Controller,Main Steam Temperature Controller,1,-,-,-,Main Steam,Temperature,1,Setpoint,DEG C,~ 537 deg,-,-,-,-,SP,-,-,-,
83,79,New,LICRA_01405_3_1A_FB,FEED REGUALTION VALVE A DRUM,FEED WATER REGULATION VALVE AT BOILER DRUM,Boiler,PCFB,Boiler Drum,-,Boiler Drum,1,-,-,-,Feed Regulation Valve,Feed Regulation Valve - A,1,-,-,-,Position,Percentage,1,Feedback,%,-,-,-,-,-,FB,Feed Water Path,-,-,
84,80,New,LICRA_01405_3_1B_FB,FEED REGUALTION VALVE B DRUM,FEED WATER REGULATION VALVE AT BOILER DRUM,Boiler,PCFB,Boiler Drum,-,Boiler Drum,1,-,-,-,Feed Regulation Valve,Feed Regulation Valve - B,1,-,-,-,Position,Percentage,1,Feedback,%,-,-,-,-,-,FB,Feed Water Path,-,-,
85,76,New,LICRA_01405_1,DRUM LEVEL VALVE POSITION (EAST),DRUM LEVEL VALVE POSITION,Boiler,PCFB,Boiler Drum,-,Boiler Drum,1,-,-,-,Level Valve,Level Valve,1,East,East,1,Feed Water,Level,1,Feedback,MMWC,-,-,-,-,-,-,Feed Water Path,-,-,
86,77,New,LICRA_01405_2,DRUM LEVEL VALVE POSITION (WEST),DRUM LEVEL VALVE POSITION,Boiler,PCFB,Boiler Drum,-,Boiler Drum,1,-,-,-,Level Valve,Level Valve,1,West,West,1,Feed Water,Level,1,Feedback,MMWC,-,-,-,-,-,-,Feed Water Path,-,-,
